section,online,back car,small car add,big car add,same car add,num of add alart,flame size,adjacent car,front adjacent,rear adjacent,Water
2.5,1,2,1,1,2,1,3,2,1,2,32
3,0,1,1,1,1,0,2,1,1,1,1
2,1,2,1,1,2,1,2,2,1,2,21
5,1,2,2,1,1,2,2,1,1,1,32
3.5,1,2,1,2,1,2,1,2,1,2,21
3,0,1,1,1,1,3,2,1,1,1,21
3.5,1,2,1,1,2,1,2,1,1,1,21
1.5,1,2,1,1,2,1,1,3,2,1,31
3,1,2,1,1,2,2,2,3,2,1,21
2.5,1,2,1,2,1,1,1,2,1,2,32
1.5,1,2,2,1,1,1,3,3,2,1,31
1,1,2,2,1,1,1,2,3,2,1,31
4.5,1,1,1,1,1,1,2,1,1,1,21
5,1,1,1,1,1,2,2,1,1,1,21
3.5,1,1,1,1,1,2,2,1,1,1,21
2.5,1,1,1,1,1,2,2,1,1,1,21
3,1,2,2,1,1,1,3,1,1,1,32
3.5,1,2,1,2,1,1,3,1,1,1,32
4.5,1,2,2,1,1,1,3,3,2,1,32
4.5,1,1,1,1,1,3,2,1,1,1,21
5,1,2,1,1,2,2,3,1,1,1,32
4,1,2,1,2,1,2,2,2,1,2,32
1.5,1,2,1,2,1,2,3,1,1,1,43
4.5,1,1,1,1,1,2,2,1,1,1,21
4,0,1,1,1,1,2,2,1,1,1,21
2.5,1,2,1,2,1,2,2,3,2,1,43
1,0,1,1,1,1,2,2,1,1,1,21
4,0,1,1,1,1,3,2,1,1,1,21
1,0,1,1,1,1,0,2,1,1,1,2
3,0,1,1,1,1,2,2,1,1,1,21
2,0,1,1,1,1,0,2,1,1,1,1
3.5,1,1,1,1,1,3,2,1,1,1,21
5,1,2,2,1,1,2,2,1,1,1,3
3.5,1,2,1,2,1,2,1,2,1,2,3
3,0,1,1,1,1,3,2,1,1,1,4
3.5,1,2,1,1,2,1,2,1,1,1,4
1.5,1,2,1,1,2,1,1,3,2,1,5
3,1,2,1,1,2,2,2,3,2,1,3
2.5,1,2,1,2,1,1,1,2,1,2,4
1.5,1,2,2,1,1,1,3,3,2,1,4
1,1,2,2,1,1,1,2,3,2,1,4
4.5,1,1,1,1,1,1,2,1,1,1,3
5,1,1,1,1,1,2,2,1,1,1,1
3.5,1,1,1,1,1,2,2,1,1,1,3
2.5,1,1,1,1,1,2,2,1,1,1,3
3,1,2,2,1,1,1,3,1,1,1,3
3.5,1,2,1,2,1,1,3,1,1,1,3
4.5,1,2,2,1,1,1,3,3,2,1,4
2,0,1,1,1,1,2,2,1,1,1,3
4.5,1,1,1,1,1,3,2,1,1,1,3
5,1,2,1,1,2,2,3,1,1,1,4
4,1,2,1,2,1,2,2,2,1,2,4
1.5,1,2,1,2,1,2,3,1,1,1,4
4.5,1,1,1,1,1,2,2,1,1,1,3
4,0,1,1,1,1,2,2,1,1,1,2
2.5,1,2,1,2,1,2,2,3,2,1,4
1,0,1,1,1,1,2,2,1,1,1,1
4,0,1,1,1,1,3,2,1,1,1,2
1,0,1,1,1,1,0,2,1,1,1,1
3,0,1,1,1,1,2,2,1,1,1,21
2,0,1,1,1,1,0,2,1,1,1,1
3.5,1,1,1,1,1,3,2,1,1,1,3
3,0,1,1,1,1,3,2,1,1,1,2
4.5,1,1,1,1,1,1,2,1,1,1,2
5,1,1,1,1,1,2,2,1,1,1,1
3.5,1,1,1,1,1,2,2,1,1,1,2
2.5,1,1,1,1,1,2,2,1,1,1,2
2,0,1,1,1,1,2,2,1,1,1,2
4.5,1,1,1,1,1,3,2,1,1,1,2
4.5,1,1,1,1,1,2,2,1,1,1,2
4,0,1,1,1,1,2,2,1,1,1,1
1,0,1,1,1,1,2,2,1,1,1,1
4,0,1,1,1,1,3,2,1,1,1,1
1,0,1,1,1,1,0,2,1,1,1,1
3,0,1,1,1,1,2,2,1,1,1,2
2,0,1,1,1,1,0,2,1,1,1,1
3.5,1,1,1,1,1,3,2,1,1,1,2
3.5,1,2,1,1,2,2,3,2,1,2,21
1.5,1,1,1,1,1,0,2,1,1,1,32
1.5,1,2,1,2,1,2,3,1,1,1,32
2,0,1,1,1,1,2,2,1,1,1,32
4,1,2,2,1,1,2,3,2,1,2,2
3,1,2,2,1,1,1,3,1,1,1,32
3.5,1,1,1,1,1,3,2,1,1,1,32
3,0,1,1,1,1,0,2,1,1,1,21
4.5,1,1,1,1,1,1,2,1,1,1,21
2.5,1,2,1,2,1,1,1,2,1,2,32
5,1,2,2,1,1,1,1,2,1,2,32
4,1,2,1,1,2,1,3,3,2,1,3
3,0,1,1,1,1,0,2,1,1,1,2
2,1,2,1,2,1,2,1,1,1,1,32
5,1,1,1,1,1,0,2,1,1,1,10
3.5,1,2,2,1,1,2,2,2,1,2,32
4.5,1,2,1,1,2,1,1,3,2,1,3
4,0,1,1,1,1,0,2,1,1,1,21
2.5,1,1,1,1,1,1,2,1,1,1,21
1.5,1,2,1,1,2,2,2,1,1,1,32
3,0,1,1,1,1,2,2,1,1,1,32
1,0,1,1,1,1,-1,2,1,1,1,1
1.5,1,1,1,1,1,0,2,1,1,1,21
2,1,2,1,1,2,1,2,2,1,2,32
2.5,1,2,1,1,2,1,3,2,1,2,32
4,0,1,1,1,1,-1,2,1,1,1,21
2,1,2,2,1,1,1,1,2,1,2,32
4,0,1,1,1,1,3,2,1,1,1,21
4.5,1,2,2,1,1,2,1,1,1,1,32
5,1,2,1,1,2,1,2,2,1,2,21
3.5,1,1,1,1,1,2,2,1,1,1,32
5,1,2,1,2,1,1,3,2,1,2,32
3,1,2,1,2,1,1,2,1,1,1,32
2.5,1,1,1,1,1,2,2,1,1,1,32
2.5,1,2,1,1,2,2,1,3,2,1,32
4.5,1,1,1,1,1,0,2,1,1,1,21
5,1,2,2,1,1,2,2,1,1,1,32
3.5,1,2,1,2,1,2,1,2,1,2,2
3,0,1,1,1,1,3,2,1,1,1,2
3.5,1,2,1,1,2,1,2,1,1,1,2
1.5,1,2,1,1,2,1,1,3,2,1,2
3,1,2,1,1,2,2,2,3,2,1,1
2.5,1,2,1,2,1,1,1,2,1,2,3
1.5,1,2,2,1,1,1,3,3,2,1,2
1,1,2,2,1,1,1,2,3,2,1,2
4.5,1,1,1,1,1,1,2,1,1,1,2
5,1,1,1,1,1,2,2,1,1,1,1
3.5,1,1,1,1,1,2,2,1,1,1,1
2.5,1,1,1,1,1,2,2,1,1,1,2
3,1,2,2,1,1,1,3,1,1,1,3
3.5,1,2,1,2,1,1,3,1,1,1,2
4.5,1,2,2,1,1,1,3,3,2,1,1
2,0,1,1,1,1,2,2,1,1,1,2
4.5,1,1,1,1,1,3,2,1,1,1,3
5,1,2,1,1,2,2,3,1,1,1,2
4,1,2,1,2,1,2,2,2,1,2,1
1.5,1,2,1,2,1,2,3,1,1,1,3
4.5,1,1,1,1,1,2,2,1,1,1,3
4,0,1,1,1,1,2,2,1,1,1,2
2.5,1,2,1,2,1,2,2,3,2,1,2
1,0,1,1,1,1,2,2,1,1,1,1
4,0,1,1,1,1,3,2,1,1,1,3
1,0,1,1,1,1,0,2,1,1,1,3
3,0,1,1,1,1,2,2,1,1,1,1
2,0,1,1,1,1,0,2,1,1,1,3
3.5,1,1,1,1,1,3,2,1,1,1,2
5,1,2,2,1,1,2,2,1,1,1,4
3.5,1,2,1,2,1,2,1,2,1,2,3
3,0,1,1,1,1,3,2,1,1,1,3
3.5,1,2,1,1,2,1,2,1,1,1,3
1.5,1,2,1,1,2,1,1,3,2,1,3
3,1,2,1,1,2,2,2,3,2,1,2
2.5,1,2,1,2,1,1,1,2,1,2,3
1.5,1,2,2,1,1,1,3,3,2,1,3
1,1,2,2,1,1,1,2,3,2,1,2
4.5,1,1,1,1,1,1,2,1,1,1,3
5,1,1,1,1,1,2,2,1,1,1,2
3.5,1,1,1,1,1,2,2,1,1,1,2
2.5,1,1,1,1,1,2,2,1,1,1,3
3,1,2,2,1,1,1,3,1,1,1,3
3.5,1,2,1,2,1,1,3,1,1,1,3
4.5,1,2,2,1,1,1,3,3,2,1,2
2,0,1,1,1,1,2,2,1,1,1,3
4.5,1,1,1,1,1,3,2,1,1,1,4
5,1,2,1,1,2,2,3,1,1,1,3
4,1,2,1,2,1,2,2,2,1,2,1
1.5,1,2,1,2,1,2,3,1,1,1,3
4.5,1,1,1,1,1,2,2,1,1,1,3
4,0,1,1,1,1,2,2,1,1,1,2
2.5,1,2,1,2,1,2,2,3,2,1,3
1,0,1,1,1,1,2,2,1,1,1,2
4,0,1,1,1,1,3,2,1,1,1,3
1,0,1,1,1,1,0,2,1,1,1,4
3,0,1,1,1,1,2,2,1,1,1,1
2,0,1,1,1,1,0,2,1,1,1,4
3.5,1,1,1,1,1,3,2,1,1,1,2
